Three-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
111,3,3,5
112,4,4,4
113,5,5,3
114,6,6,2
115,7,7,1
116,8,0,0
121,4,4,4
122,5,5,3
123,6,6,2
124,7,7,1
125,8,0,0
126,9,1,7
131,5,5,3
132,6,6,2
133,7,7,1
134,8,0,0
135,9,1,7
136,10,2,6
141,6,6,2
142,7,7,1
143,8,0,0
144,9,1,7
145,10,2,6
146,11,3,5
151,7,7,1
152,8,0,0
153,9,1,7
154,10,2,6
155,11,3,5
156,12,4,4
161,8,0,0
162,9,1,7
163,10,2,6
164,11,3,5
165,12,4,4
166,13,5,3
211,4,4,4
212,5,5,3
213,6,6,2
214,7,7,1
215,8,0,0
216,9,1,7
221,5,5,3
222,6,6,2
223,7,7,1
224,8,0,0
225,9,1,7
226,10,2,6
231,6,6,2
232,7,7,1
233,8,0,0
234,9,1,7
235,10,2,6
236,11,3,5
241,7,7,1
242,8,0,0
243,9,1,7
244,10,2,6
245,11,3,5
246,12,4,4
251,8,0,0
252,9,1,7
253,10,2,6
254,11,3,5
255,12,4,4
256,13,5,3
261,9,1,7
262,10,2,6
263,11,3,5
264,12,4,4
265,13,5,3
266,14,6,2
311,5,5,3
312,6,6,2
313,7,7,1
314,8,0,0
315,9,1,7
316,10,2,6
321,6,6,2
322,7,7,1
323,8,0,0
324,9,1,7
325,10,2,6
326,11,3,5
331,7,7,1
332,8,0,0
333,9,1,7
334,10,2,6
335,11,3,5
336,12,4,4
341,8,0,0
342,9,1,7
343,10,2,6
344,11,3,5
345,12,4,4
346,13,5,3
351,9,1,7
352,10,2,6
353,11,3,5
354,12,4,4
355,13,5,3
356,14,6,2
361,10,2,6
362,11,3,5
363,12,4,4
364,13,5,3
365,14,6,2
366,15,7,1
411,6,6,2
412,7,7,1
413,8,0,0
414,9,1,7
415,10,2,6
416,11,3,5
421,7,7,1
422,8,0,0
423,9,1,7
424,10,2,6
425,11,3,5
426,12,4,4
431,8,0,0
432,9,1,7
433,10,2,6
434,11,3,5
435,12,4,4
436,13,5,3
441,9,1,7
442,10,2,6
443,11,3,5
444,12,4,4
445,13,5,3
446,14,6,2
451,10,2,6
452,11,3,5
453,12,4,4
454,13,5,3
455,14,6,2
456,15,7,1
461,11,3,5
462,12,4,4
463,13,5,3
464,14,6,2
465,15,7,1
466,16,0,0
511,7,7,1
512,8,0,0
513,9,1,7
514,10,2,6
515,11,3,5
516,12,4,4
521,8,0,0
522,9,1,7
523,10,2,6
524,11,3,5
525,12,4,4
526,13,5,3
531,9,1,7
532,10,2,6
533,11,3,5
534,12,4,4
535,13,5,3
536,14,6,2
541,10,2,6
542,11,3,5
543,12,4,4
544,13,5,3
545,14,6,2
546,15,7,1
551,11,3,5
552,12,4,4
553,13,5,3
554,14,6,2
555,15,7,1
556,16,0,0
561,12,4,4
562,13,5,3
563,14,6,2
564,15,7,1
565,16,0,0
566,17,1,7
611,8,0,0
612,9,1,7
613,10,2,6
614,11,3,5
615,12,4,4
616,13,5,3
621,9,1,7
622,10,2,6
623,11,3,5
624,12,4,4
625,13,5,3
626,14,6,2
631,10,2,6
632,11,3,5
633,12,4,4
634,13,5,3
635,14,6,2
636,15,7,1
641,11,3,5
642,12,4,4
643,13,5,3
644,14,6,2
645,15,7,1
646,16,0,0
651,12,4,4
652,13,5,3
653,14,6,2
654,15,7,1
655,16,0,0
656,17,1,7
661,13,5,3
662,14,6,2
663,15,7,1
664,16,0,0
665,17,1,7
666,18,2,6
