Five-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
11111,5,5,3
11112,6,6,2
11113,7,7,1
11114,8,0,0
11115,9,1,7
11116,10,2,6
11121,6,6,2
11122,7,7,1
11123,8,0,0
11124,9,1,7
11125,10,2,6
11126,11,3,5
11131,7,7,1
11132,8,0,0
11133,9,1,7
11134,10,2,6
11135,11,3,5
11136,12,4,4
11141,8,0,0
11142,9,1,7
11143,10,2,6
11144,11,3,5
11145,12,4,4
11146,13,5,3
11151,9,1,7
11152,10,2,6
11153,11,3,5
11154,12,4,4
11155,13,5,3
11156,14,6,2
11161,10,2,6
11162,11,3,5
11163,12,4,4
11164,13,5,3
11165,14,6,2
11166,15,7,1
11211,6,6,2
11212,7,7,1
11213,8,0,0
11214,9,1,7
11215,10,2,6
11216,11,3,5
11221,7,7,1
11222,8,0,0
11223,9,1,7
11224,10,2,6
11225,11,3,5
11226,12,4,4
11231,8,0,0
11232,9,1,7
11233,10,2,6
11234,11,3,5
11235,12,4,4
11236,13,5,3
11241,9,1,7
11242,10,2,6
11243,11,3,5
11244,12,4,4
11245,13,5,3
11246,14,6,2
11251,10,2,6
11252,11,3,5
11253,12,4,4
11254,13,5,3
11255,14,6,2
11256,15,7,1
11261,11,3,5
11262,12,4,4
11263,13,5,3
11264,14,6,2
11265,15,7,1
11266,16,0,0
11311,7,7,1
11312,8,0,0
11313,9,1,7
11314,10,2,6
11315,11,3,5
11316,12,4,4
11321,8,0,0
11322,9,1,7
11323,10,2,6
11324,11,3,5
11325,12,4,4
11326,13,5,3
11331,9,1,7
11332,10,2,6
11333,11,3,5
11334,12,4,4
11335,13,5,3
11336,14,6,2
11341,10,2,6
11342,11,3,5
11343,12,4,4
11344,13,5,3
11345,14,6,2
11346,15,7,1
11351,11,3,5
11352,12,4,4
11353,13,5,3
11354,14,6,2
11355,15,7,1
11356,16,0,0
11361,12,4,4
11362,13,5,3
11363,14,6,2
11364,15,7,1
11365,16,0,0
11366,17,1,7
11411,8,0,0
11412,9,1,7
11413,10,2,6
11414,11,3,5
11415,12,4,4
11416,13,5,3
11421,9,1,7
11422,10,2,6
11423,11,3,5
11424,12,4,4
11425,13,5,3
11426,14,6,2
11431,10,2,6
11432,11,3,5
11433,12,4,4
11434,13,5,3
11435,14,6,2
11436,15,7,1
11441,11,3,5
11442,12,4,4
11443,13,5,3
11444,14,6,2
11445,15,7,1
11446,16,0,0
11451,12,4,4
11452,13,5,3
11453,14,6,2
11454,15,7,1
11455,16,0,0
11456,17,1,7
11461,13,5,3
11462,14,6,2
11463,15,7,1
11464,16,0,0
11465,17,1,7
11466,18,2,6
11511,9,1,7
11512,10,2,6
11513,11,3,5
11514,12,4,4
11515,13,5,3
11516,14,6,2
11521,10,2,6
11522,11,3,5
11523,12,4,4
11524,13,5,3
11525,14,6,2
11526,15,7,1
11531,11,3,5
11532,12,4,4
11533,13,5,3
11534,14,6,2
11535,15,7,1
11536,16,0,0
11541,12,4,4
11542,13,5,3
11543,14,6,2
11544,15,7,1
11545,16,0,0
11546,17,1,7
11551,13,5,3
11552,14,6,2
11553,15,7,1
11554,16,0,0
11555,17,1,7
11556,18,2,6
11561,14,6,2
11562,15,7,1
11563,16,0,0
11564,17,1,7
11565,18,2,6
11566,19,3,5
11611,10,2,6
11612,11,3,5
11613,12,4,4
11614,13,5,3
11615,14,6,2
11616,15,7,1
11621,11,3,5
11622,12,4,4
11623,13,5,3
11624,14,6,2
11625,15,7,1
11626,16,0,0
11631,12,4,4
11632,13,5,3
11633,14,6,2
11634,15,7,1
11635,16,0,0
11636,17,1,7
11641,13,5,3
11642,14,6,2
11643,15,7,1
11644,16,0,0
11645,17,1,7
11646,18,2,6
11651,14,6,2
11652,15,7,1
11653,16,0,0
11654,17,1,7
11655,18,2,6
11656,19,3,5
11661,15,7,1
11662,16,0,0
11663,17,1,7
11664,18,2,6
11665,19,3,5
11666,20,4,4
12111,6,6,2
12112,7,7,1
12113,8,0,0
12114,9,1,7
12115,10,2,6
12116,11,3,5
12121,7,7,1
12122,8,0,0
12123,9,1,7
12124,10,2,6
12125,11,3,5
12126,12,4,4
12131,8,0,0
12132,9,1,7
12133,10,2,6
12134,11,3,5
12135,12,4,4
12136,13,5,3
12141,9,1,7
12142,10,2,6
12143,11,3,5
12144,12,4,4
12145,13,5,3
12146,14,6,2
12151,10,2,6
12152,11,3,5
12153,12,4,4
12154,13,5,3
12155,14,6,2
12156,15,7,1
12161,11,3,5
12162,12,4,4
12163,13,5,3
12164,14,6,2
12165,15,7,1
12166,16,0,0
12211,7,7,1
12212,8,0,0
12213,9,1,7
12214,10,2,6
12215,11,3,5
12216,12,4,4
12221,8,0,0
12222,9,1,7
12223,10,2,6
12224,11,3,5
12225,12,4,4
12226,13,5,3
12231,9,1,7
12232,10,2,6
12233,11,3,5
12234,12,4,4
12235,13,5,3
12236,14,6,2
12241,10,2,6
12242,11,3,5
12243,12,4,4
12244,13,5,3
12245,14,6,2
12246,15,7,1
12251,11,3,5
12252,12,4,4
12253,13,5,3
12254,14,6,2
12255,15,7,1
12256,16,0,0
12261,12,4,4
12262,13,5,3
12263,14,6,2
12264,15,7,1
12265,16,0,0
12266,17,1,7
12311,8,0,0
12312,9,1,7
12313,10,2,6
12314,11,3,5
12315,12,4,4
12316,13,5,3
12321,9,1,7
12322,10,2,6
12323,11,3,5
12324,12,4,4
12325,13,5,3
12326,14,6,2
12331,10,2,6
12332,11,3,5
12333,12,4,4
12334,13,5,3
12335,14,6,2
12336,15,7,1
12341,11,3,5
12342,12,4,4
12343,13,5,3
12344,14,6,2
12345,15,7,1
12346,16,0,0
12351,12,4,4
12352,13,5,3
12353,14,6,2
12354,15,7,1
12355,16,0,0
12356,17,1,7
12361,13,5,3
12362,14,6,2
12363,15,7,1
12364,16,0,0
