Six-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
111111,6,6,2
111112,7,7,1
111113,8,0,0
111114,9,1,7
111115,10,2,6
111116,11,3,5
111121,7,7,1
111122,8,0,0
111123,9,1,7
111124,10,2,6
111125,11,3,5
111126,12,4,4
111131,8,0,0
111132,9,1,7
111133,10,2,6
111134,11,3,5
111135,12,4,4
111136,13,5,3
111141,9,1,7
111142,10,2,6
111143,11,3,5
111144,12,4,4
111145,13,5,3
111146,14,6,2
111151,10,2,6
111152,11,3,5
111153,12,4,4
111154,13,5,3
111155,14,6,2
111156,15,7,1
111161,11,3,5
111162,12,4,4
111163,13,5,3
111164,14,6,2
111165,15,7,1
111166,16,0,0
111211,7,7,1
111212,8,0,0
111213,9,1,7
111214,10,2,6
111215,11,3,5
111216,12,4,4
111221,8,0,0
111222,9,1,7
111223,10,2,6
111224,11,3,5
111225,12,4,4
111226,13,5,3
111231,9,1,7
111232,10,2,6
111233,11,3,5
111234,12,4,4
111235,13,5,3
111236,14,6,2
111241,10,2,6
111242,11,3,5
111243,12,4,4
111244,13,5,3
111245,14,6,2
111246,15,7,1
111251,11,3,5
111252,12,4,4
111253,13,5,3
111254,14,6,2
111255,15,7,1
111256,16,0,0
111261,12,4,4
111262,13,5,3
111263,14,6,2
111264,15,7,1
111265,16,0,0
111266,17,1,7
111311,8,0,0
111312,9,1,7
111313,10,2,6
111314,11,3,5
111315,12,4,4
111316,13,5,3
111321,9,1,7
111322,10,2,6
111323,11,3,5
111324,12,4,4
111325,13,5,3
111326,14,6,2
111331,10,2,6
111332,11,3,5
111333,12,4,4
111334,13,5,3
111335,14,6,2
111336,15,7,1
111341,11,3,5
111342,12,4,4
111343,13,5,3
111344,14,6,2
111345,15,7,1
111346,16,0,0
111351,12,4,4
111352,13,5,3
111353,14,6,2
111354,15,7,1
111355,16,0,0
111356,17,1,7
111361,13,5,3
111362,14,6,2
111363,15,7,1
111364,16,0,0
111365,17,1,7
111366,18,2,6
111411,9,1,7
111412,10,2,6
111413,11,3,5
111414,12,4,4
111415,13,5,3
111416,14,6,2
111421,10,2,6
111422,11,3,5
111423,12,4,4
111424,13,5,3
111425,14,6,2
111426,15,7,1
111431,11,3,5
111432,12,4,4
111433,13,5,3
111434,14,6,2
111435,15,7,1
111436,16,0,0
111441,12,4,4
111442,13,5,3
111443,14,6,2
111444,15,7,1
111445,16,0,0
111446,17,1,7
111451,13,5,3
111452,14,6,2
111453,15,7,1
111454,16,0,0
111455,17,1,7
111456,18,2,6
111461,14,6,2
111462,15,7,1
111463,16,0,0
111464,17,1,7
111465,18,2,6
111466,19,3,5
111511,10,2,6
111512,11,3,5
111513,12,4,4
111514,13,5,3
111515,14,6,2
111516,15,7,1
111521,11,3,5
