Throw_Count,Simulation_Number,Dice_Rolls,Positions,Final_Position,Distance_to_A
1,1,[3],['D'],D,5
1,2,[1],['B'],B,7
1,3,[5],['F'],F,3
1,4,[3],['D'],D,5
1,5,[1],['B'],B,7
1,6,[2],['C'],C,6
1,7,[4],['E'],E,4
1,8,[2],['C'],C,6
1,9,[3],['D'],D,5
1,10,[4],['E'],E,4
1,11,[2],['C'],C,6
1,12,[2],['C'],C,6
1,13,[1],['B'],B,7
1,14,[3],['D'],D,5
1,15,[1],['B'],B,7
1,16,[5],['F'],F,3
1,17,[3],['D'],D,5
1,18,[3],['D'],D,5
1,19,[2],['C'],C,6
1,20,[4],['E'],E,4
1,21,[3],['D'],D,5
1,22,[4],['E'],E,4
1,23,[6],['G'],G,2
1,24,[6],['G'],G,2
1,25,[4],['E'],E,4
1,26,[2],['C'],C,6
1,27,[5],['F'],F,3
1,28,[3],['D'],D,5
1,29,[3],['D'],D,5
1,30,[5],['F'],F,3
1,31,[1],['B'],B,7
1,32,[4],['E'],E,4
1,33,[2],['C'],C,6
1,34,[5],['F'],F,3
1,35,[3],['D'],D,5
1,36,[1],['B'],B,7
1,37,[5],['F'],F,3
1,38,[2],['C'],C,6
1,39,[6],['G'],G,2
1,40,[4],['E'],E,4
1,41,[5],['F'],F,3
1,42,[1],['B'],B,7
1,43,[5],['F'],F,3
1,44,[6],['G'],G,2
1,45,[5],['F'],F,3
1,46,[3],['D'],D,5
1,47,[1],['B'],B,7
1,48,[6],['G'],G,2
1,49,[2],['C'],C,6
1,50,[4],['E'],E,4
1,51,[2],['C'],C,6
1,52,[6],['G'],G,2
1,53,[4],['E'],E,4
1,54,[6],['G'],G,2
1,55,[3],['D'],D,5
1,56,[3],['D'],D,5
1,57,[1],['B'],B,7
1,58,[3],['D'],D,5
1,59,[4],['E'],E,4
1,60,[2],['C'],C,6
1,61,[1],['B'],B,7
1,62,[3],['D'],D,5
1,63,[2],['C'],C,6
1,64,[4],['E'],E,4
1,65,[5],['F'],F,3
1,66,[2],['C'],C,6
1,67,[6],['G'],G,2
1,68,[5],['F'],F,3
1,69,[2],['C'],C,6
1,70,[3],['D'],D,5
1,71,[4],['E'],E,4
1,72,[5],['F'],F,3
1,73,[6],['G'],G,2
1,74,[3],['D'],D,5
1,75,[4],['E'],E,4
1,76,[1],['B'],B,7
1,77,[1],['B'],B,7
1,78,[2],['C'],C,6
1,79,[1],['B'],B,7
1,80,[4],['E'],E,4
1,81,[4],['E'],E,4
1,82,[1],['B'],B,7
1,83,[1],['B'],B,7
1,84,[6],['G'],G,2
1,85,[5],['F'],F,3
1,86,[1],['B'],B,7
1,87,[1],['B'],B,7
1,88,[6],['G'],G,2
1,89,[2],['C'],C,6
1,90,[5],['F'],F,3
1,91,[5],['F'],F,3
1,92,[4],['E'],E,4
1,93,[5],['F'],F,3
1,94,[5],['F'],F,3
1,95,[6],['G'],G,2
1,96,[2],['C'],C,6
1,97,[5],['F'],F,3
1,98,[1],['B'],B,7
1,99,[4],['E'],E,4
1,100,[3],['D'],D,5
1,101,[3],['D'],D,5
1,102,[4],['E'],E,4
1,103,[1],['B'],B,7
1,104,[1],['B'],B,7
1,105,[3],['D'],D,5
1,106,[4],['E'],E,4
1,107,[5],['F'],F,3
1,108,[4],['E'],E,4
1,109,[2],['C'],C,6
1,110,[1],['B'],B,7
1,111,[6],['G'],G,2
1,112,[1],['B'],B,7
1,113,[3],['D'],D,5
1,114,[6],['G'],G,2
1,115,[5],['F'],F,3
1,116,[4],['E'],E,4
1,117,[1],['B'],B,7
1,118,[6],['G'],G,2
1,119,[4],['E'],E,4
1,120,[3],['D'],D,5
1,121,[2],['C'],C,6
1,122,[1],['B'],B,7
1,123,[2],['C'],C,6
1,124,[5],['F'],F,3
1,125,[3],['D'],D,5
1,126,[3],['D'],D,5
1,127,[3],['D'],D,5
1,128,[4],['E'],E,4
1,129,[3],['D'],D,5
1,130,[1],['B'],B,7
1,131,[4],['E'],E,4
1,132,[3],['D'],D,5
1,133,[4],['E'],E,4
1,134,[6],['G'],G,2
1,135,[4],['E'],E,4
1,136,[1],['B'],B,7
1,137,[3],['D'],D,5
1,138,[1],['B'],B,7
1,139,[3],['D'],D,5
1,140,[5],['F'],F,3
1,141,[6],['G'],G,2
1,142,[3],['D'],D,5
1,143,[6],['G'],G,2
1,144,[4],['E'],E,4
1,145,[4],['E'],E,4
1,146,[2],['C'],C,6
1,147,[6],['G'],G,2
1,148,[1],['B'],B,7
1,149,[2],['C'],C,6
1,150,[4],['E'],E,4
1,151,[6],['G'],G,2
1,152,[4],['E'],E,4
1,153,[3],['D'],D,5
1,154,[4],['E'],E,4
1,155,[2],['C'],C,6
1,156,[6],['G'],G,2
1,157,[3],['D'],D,5
1,158,[6],['G'],G,2
1,159,[5],['F'],F,3
1,160,[6],['G'],G,2
1,161,[6],['G'],G,2
1,162,[1],['B'],B,7
1,163,[4],['E'],E,4
1,164,[5],['F'],F,3
1,165,[5],['F'],F,3
1,166,[4],['E'],E,4
1,167,[1],['B'],B,7
1,168,[6],['G'],G,2
1,169,[1],['B'],B,7
1,170,[5],['F'],F,3
1,171,[2],['C'],C,6
1,172,[1],['B'],B,7
1,173,[5],['F'],F,3
1,174,[2],['C'],C,6
1,175,[3],['D'],D,5
1,176,[1],['B'],B,7
1,177,[1],['B'],B,7
1,178,[4],['E'],E,4
1,179,[2],['C'],C,6
1,180,[5],['F'],F,3
1,181,[6],['G'],G,2
1,182,[6],['G'],G,2
1,183,[2],['C'],C,6
1,184,[1],['B'],B,7
1,185,[6],['G'],G,2
1,186,[1],['B'],B,7
1,187,[2],['C'],C,6
1,188,[1],['B'],B,7
1,189,[6],['G'],G,2
1,190,[2],['C'],C,6
1,191,[5],['F'],F,3
1,192,[1],['B'],B,7
1,193,[6],['G'],G,2
1,194,[4],['E'],E,4
